codigo;nombre;estado;codigoDistribuidor
5237;5237;1;1
2466;2466;1;1
2405;2405;1;1
2134;2134;1;1
2143;2143;1;1
1912;1912;1;1
4540;4540;1;1
1980;1980;1;1
1430;1430;1;1
1398;1398;1;1
1569;1569;1;1
3294;3294;1;1
1565;1565;1;1
1524;1524;1;1
1319;1319;1;1
1459;1459;1;1
4388;4388;1;1
920;920;1;1
1305;1305;1;1
1187;1187;1;1
1456;1456;1;1
1108;1108;1;1
846;846;1;1
860;860;1;1
809;809;1;1
4948;4948;1;1
786;786;1;1
790;790;1;1
4722;4722;1;1
748;748;1;1
1017;1017;1;1
1102;1102;1;1
4636;4636;1;1
478;478;1;1
242;242;1;1
4675;4675;1;1
4295;4295;1;1
3017;3017;1;1
3093;3093;1;1
3266;3266;1;1
3414;3414;1;1
3454;3454;1;1
3632;3632;1;1
3568;3568;1;1
484;484;1;1
5352;5352;1;1
5338;5338;1;1
3790;3790;1;1
3717;3717;1;1
4031;4031;1;1
5264;5264;1;1
1698;1698;1;1
1353;1353;1;1
1365;1365;1;1
2997;2997;1;1
4627;4627;1;1
5258;5258;1;1
3963;3963;1;1
5397;5397;1;1
5396;5396;1;1
4027;4027;1;1
1003;1003;1;1
3960;3960;1;1
2638;2638;1;1
2682;2682;1;1
4505;4505;1;1
4594;4594;1;1
4252;4252;1;1
4280;4280;1;1
4068;4068;1;1
4223;4223;1;1
4050;4050;1;1
619;619;1;1
4219;4219;1;1
4211;4211;1;1
4723;4723;1;1
5023;5023;1;1
4422;4422;1;1
802;802;1;1
158;158;1;1
4002;4002;1;1
4682;4682;1;1
4691;4691;1;1
4457;4457;1;1
5270;5270;1;1
4593;4593;1;1
3464;3464;1;1
4585;4585;1;1
4584;4584;1;1
4692;4692;1;1
4709;4709;1;1
4957;4957;1;1
4718;4718;1;1
5370;5370;1;1
4082;4082;1;1
5226;5226;1;1
4747;4747;1;1
1015;1015;1;1
4749;4749;1;1
4739;4739;1;1
4792;4792;1;1
370;370;1;1
4827;4827;1;1
4843;4843;1;1
4857;4857;1;1
4868;4868;1;1
4895;4895;1;1
5225;5225;1;1
689;689;1;1
4397;4397;1;1
5368;5368;1;1
5217;5217;1;1
5326;5326;1;1
5330;5330;1;1
4246;4246;1;1
5376;5376;1;1
5383;5383;1;1
5393;5393;1;1
2394;2394;1;1
5381;5381;1;1
5351;5351;1;1
5346;5346;1;1
2058;2058;1;1
1976;1976;1;1
4115;4115;1;1
2782;2782;1;1
5321;5321;1;1
5232;5232;1;1
444;444;1;1
5311;5311;1;1
5291;5291;1;1
5266;5266;1;1
5268;5268;1;1
4436;4436;1;1
4660;4660;1;1
947;947;1;1
817;817;1;1
5190;5190;1;1
5193;5193;1;1
4981;4981;1;1
4994;4994;1;1
5019;5019;1;1
5099;5099;1;1
5068;5068;1;1
4717;4717;1;1
4923;4923;1;1
4969;4969;1;1
4958;4958;1;1
4953;4953;1;1
727;727;1;1
4866;4866;1;1
4859;4859;1;1
4849;4849;1;1
4836;4836;1;1
4789;4789;1;1
5202;5202;1;1
721;721;1;1
4108;4108;1;1
4664;4664;1;1
4450;4450;1;1
4557;4557;1;1
2493;2493;1;1
4435;4435;1;1
4426;4426;1;1
4308;4308;1;1
4307;4307;1;1
3850;3850;1;1
3987;3987;1;1
5269;5269;1;1
3620;3620;1;1
4079;4079;1;1
5313;5313;1;1
3441;3441;1;1
3601;3601;1;1
3514;3514;1;1
3473;3473;1;1
3458;3458;1;1
4529;4529;1;1
3236;3236;1;1
3335;3335;1;1
3252;3252;1;1
3086;3086;1;1
3022;3022;1;1
4429;4429;1;1
2157;2157;1;1
2748;2748;1;1
1149;1149;1;1
2725;2725;1;1
2724;2724;1;1
2722;2722;1;1
1854;1854;1;1
1904;1904;1;1
1968;1968;1;1
849;849;1;1
4726;4726;1;1
1802;1802;1;1
2331;2331;1;1
890;890;1;1
2199;2199;1;1
2247;2247;1;1
4890;4890;1;1
2139;2139;1;1
2152;2152;1;1
1197;1197;1;1
1975;1975;1;1
2244;2244;1;1
1778;1778;1;1
424;424;1;1
608;608;1;1
1776;1776;1;1
4966;4966;1;1
2505;2505;1;1
1589;1589;1;1
1537;1537;1;1
1502;1502;1;1
1375;1375;1;1
1607;1607;1;1
885;885;1;1
5132;5132;1;1
5209;5209;1;1
4896;4896;1;1
654;654;1;1
640;640;1;1
631;631;1;1
1444;1444;1;1
4149;4149;1;1
4107;4107;1;1
47;47;1;1
592;592;1;1
4112;4112;1;1
1261;1261;1;1
1116;1116;1;1
1024;1024;1;1
395;395;1;1
645;645;1;1
3788;3788;1;1
988;988;1;1
3536;3536;1;1
3487;3487;1;1
3504;3504;1;1
3512;3512;1;1
3238;3238;1;1
3415;3415;1;1
3416;3416;1;1
3334;3334;1;1
3368;3368;1;1
3319;3319;1;1
3060;3060;1;1
3051;3051;1;1
3024;3024;1;1
2990;2990;1;1
2996;2996;1;1
3173;3173;1;1
3220;3220;1;1
3221;3221;1;1
2898;2898;1;1
2930;2930;1;1
2802;2802;1;1
2823;2823;1;1
2549;2549;1;1
2552;2552;1;1
4496;4496;1;1
2495;2495;1;1
2482;2482;1;1
4301;4301;1;1
1294;1294;1;1
1343;1343;1;1
899;899;1;1
677;677;1;1
3213;3213;1;1
1819;1819;1;1
5072;5072;1;1
4963;4963;1;1
4914;4914;1;1
5082;5082;1;1
5090;5090;1;1
3259;3259;1;1
79;79;1;1
483;483;1;1
587;587;1;1
405;405;1;1
4598;4598;1;1
534;534;1;1
164;164;1;1
226;226;1;1
252;252;1;1
1270;1270;1;1
964;964;1;1
1926;1926;1;1
174;174;1;1
323;323;1;1
339;339;1;1
95;95;1;1
533;533;1;1
171;171;1;1
644;644;1;1
2712;2712;1;1
566;566;1;1
222;222;1;1
5333;5333;1;1
346;346;1;1
5245;5245;1;1
584;584;1;1
537;537;1;1
1395;1395;1;1
543;543;1;1
794;794;1;1
836;836;1;1
831;831;1;1
4609;4609;1;1
4610;4610;1;1
646;646;1;1
4310;4310;1;1
522;522;1;1
1065;1065;1;1
1007;1007;1;1
1100;1100;1;1
1743;1743;1;1
1745;1745;1;1
1757;1757;1;1
5195;5195;1;1
5128;5128;1;1
5151;5151;1;1
5153;5153;1;1
5154;5154;1;1
5021;5021;1;1
4987;4987;1;1
5004;5004;1;1
4974;4974;1;1
5335;5335;1;1
1310;1310;1;1
4363;4363;1;1
2727;2727;1;1
5379;5379;1;1
5384;5384;1;1
1147;1147;1;1
3849;3849;1;1
1209;1209;1;1
1131;1131;1;1
1216;1216;1;1
1733;1733;1;1
2474;2474;1;1
1864;1864;1;1
1792;1792;1;1
1878;1878;1;1
1876;1876;1;1
1759;1759;1;1
1789;1789;1;1
1990;1990;1;1
1850;1850;1;1
1947;1947;1;1
2055;2055;1;1
1942;1942;1;1
1992;1992;1;1
2695;2695;1;1
2486;2486;1;1
2257;2257;1;1
2198;2198;1;1
2118;2118;1;1
2785;2785;1;1
2461;2461;1;1
2784;2784;1;1
2820;2820;1;1
3006;3006;1;1
3149;3149;1;1
3152;3152;1;1
2863;2863;1;1
2849;2849;1;1
3272;3272;1;1
3264;3264;1;1
3553;3553;1;1
3461;3461;1;1
3549;3549;1;1
3604;3604;1;1
3475;3475;1;1
3622;3622;1;1
3905;3905;1;1
3866;3866;1;1
3956;3956;1;1
3901;3901;1;1
3831;3831;1;1
3789;3789;1;1
3823;3823;1;1
5380;5380;1;1
5392;5392;1;1
5388;5388;1;1
5402;5402;1;1
5399;5399;1;1
580;580;1;1
4192;4192;1;1
4272;4272;1;1
4179;4179;1;1
4801;4801;1;1
3027;3027;1;1
5391;5391;1;1
4625;4625;1;1
4289;4289;1;1
2042;2042;1;1
2946;2946;1;1
1265;1265;1;1
1206;1206;1;1
4732;4732;1;1
4263;4263;1;1
4300;4300;1;1
4396;4396;1;1
4736;4736;1;1
4538;4538;1;1
4514;4514;1;1
686;686;1;1
4487;4487;1;1
4478;4478;1;1
5215;5215;1;1
1106;1106;1;1
4578;4578;1;1
4576;4576;1;1
4364;4364;1;1
4632;4632;1;1
2731;2731;1;1
4628;4628;1;1
4852;4852;1;1
4719;4719;1;1
1217;1217;1;1
1307;1307;1;1
4708;4708;1;1
4831;4831;1;1
4826;4826;1;1
4822;4822;1;1
2172;2172;1;1
4929;4929;1;1
4936;4936;1;1
5065;5065;1;1
4976;4976;1;1
5181;5181;1;1
5080;5080;1;1
864;864;1;1
5002;5002;1;1
5092;5092;1;1
5110;5110;1;1
5157;5157;1;1
2227;2227;1;1
5040;5040;1;1
2263;2263;1;1
2169;2169;1;1
873;873;1;1
5117;5117;1;1
5127;5127;1;1
4806;4806;1;1
1805;1805;1;1
1806;1806;1;1
2498;2498;1;1
5230;5230;1;1
5173;5173;1;1
5150;5150;1;1
851;851;1;1
896;896;1;1
944;944;1;1
5240;5240;1;1
4913;4913;1;1
4905;4905;1;1
4906;4906;1;1
2192;2192;1;1
5284;5284;1;1
5274;5274;1;1
5276;5276;1;1
3570;3570;1;1
5345;5345;1;1
5366;5366;1;1
1299;1299;1;1
5400;5400;1;1
670;670;1;1
680;680;1;1
683;683;1;1
4741;4741;1;1
195;195;1;1
5382;5382;1;1
5373;5373;1;1
4225;4225;1;1
4150;4150;1;1
1533;1533;1;1
2050;2050;1;1
5363;5363;1;1
5332;5332;1;1
5265;5265;1;1
5037;5037;1;1
5314;5314;1;1
4159;4159;1;1
4226;4226;1;1
4184;4184;1;1
4253;4253;1;1
3958;3958;1;1
4014;4014;1;1
5158;5158;1;1
5251;5251;1;1
769;769;1;1
770;770;1;1
4221;4221;1;1
3794;3794;1;1
3795;3795;1;1
4541;4541;1;1
4544;4544;1;1
569;569;1;1
719;719;1;1
4579;4579;1;1
575;575;1;1
3050;3050;1;1
4848;4848;1;1
1604;1604;1;1
4824;4824;1;1
4853;4853;1;1
4777;4777;1;1
4780;4780;1;1
3555;3555;1;1
4268;4268;1;1
4695;4695;1;1
4707;4707;1;1
4700;4700;1;1
4661;4661;1;1
5163;5163;1;1
2395;2395;1;1
2452;2452;1;1
2481;2481;1;1
2489;2489;1;1
4522;4522;1;1
4566;4566;1;1
4553;4553;1;1
4619;4619;1;1
4458;4458;1;1
4468;4468;1;1
5221;5221;1;1
2189;2189;1;1
4442;4442;1;1
4414;4414;1;1
992;992;1;1
5331;5331;1;1
2544;2544;1;1
51;51;1;1
4005;4005;1;1
4003;4003;1;1
2295;2295;1;1
4047;4047;1;1
867;867;1;1
3596;3596;1;1
5222;5222;1;1
3614;3614;1;1
2431;2431;1;1
4622;4622;1;1
3593;3593;1;1
0000002744;0000002744;1;3
0000002768;0000002768;1;3
0000002805;0000002805;1;3
0000002810;0000002810;1;3
0000002818;0000002818;1;3
0000000256;0000000256;1;3
0000000288;0000000288;1;3
0000006276;0000006276;1;3
0000006279;0000006279;1;3
0000004453;0000004453;1;3
0000001776;0000001776;1;3
0000001778;0000001778;1;3
0000001296;0000001296;1;3
0000003012;0000003012;1;3
0000007157;0000007157;1;3
0000001006;0000001006;1;3
0000006674;0000006674;1;3
0000000710;0000000710;1;3
0000001866;0000001866;1;3
0000004213;0000004213;1;3
0000000025;0000000025;1;3
0000000315;0000000315;1;3
0000001483;0000001483;1;3
0000001484;0000001484;1;3
0000000933;0000000933;1;3
0000000863;0000000863;1;3
0000001804;0000001804;1;3
0000005606;0000005606;1;3
0000004099;0000004099;1;3
0000002703;0000002703;1;3
0000001236;0000001236;1;3
0000001038;0000001038;1;3
0000001392;0000001392;1;3
0000007085;0000007085;1;3
0000007060;0000007060;1;3
0000000539;0000000539;1;3
0000007051;0000007051;1;3
0000001130;0000001130;1;3
0000007045;0000007045;1;3
0000001210;0000001210;1;3
0000001674;0000001674;1;3
0000007913;0000007913;1;3
0000000097;0000000097;1;3
0000000382;0000000382;1;3
0000004147;0000004147;1;3
0000007037;0000007037;1;3
0000007897;0000007897;1;3
0000007023;0000007023;1;3
0000001636;0000001636;1;3
0000001584;0000001584;1;3
0000007000;0000007000;1;3
0000001637;0000001637;1;3
0000001157;0000001157;1;3
0000001158;0000001158;1;3
0000001616;0000001616;1;3
0000006991;0000006991;1;3
0000001198;0000001198;1;3
0000000698;0000000698;1;3
0000004838;0000004838;1;3
0000006979;0000006979;1;3
0000001704;0000001704;1;3
0000006966;0000006966;1;3
0000001724;0000001724;1;3
0000001725;0000001725;1;3
0000001183;0000001183;1;3
0000001184;0000001184;1;3
0000006346;0000006346;1;3
0000006750;0000006750;1;3
0000001899;0000001899;1;3
0000002930;0000002930;1;3
0000006962;0000006962;1;3
0000006959;0000006959;1;3
0000000332;0000000332;1;3
0000000334;0000000334;1;3
0000000337;0000000337;1;3
0000000338;0000000338;1;3
0000006945;0000006945;1;3
0000006942;0000006942;1;3
0000006937;0000006937;1;3
0000001197;0000001197;1;3
0000006932;0000006932;1;3
0000006919;0000006919;1;3
0000007221;0000007221;1;3
0000006916;0000006916;1;3
0000005214;0000005214;1;3
0000005719;0000005719;1;3
0000005716;0000005716;1;3
0000000505;0000000505;1;3
0000006872;0000006872;1;3
0000000990;0000000990;1;3
0000000251;0000000251;1;3
0000004153;0000004153;1;3
0000004587;0000004587;1;3
0000000213;0000000213;1;3
0000006767;0000006767;1;3
0000006765;0000006765;1;3
0000006772;0000006772;1;3
0000001813;0000001813;1;3
0000006754;0000006754;1;3
0000001315;0000001315;1;3
0000001316;0000001316;1;3
0000006743;0000006743;1;3
0000000266;0000000266;1;3
0000000267;0000000267;1;3
0000006722;0000006722;1;3
0000006713;0000006713;1;3
0000006703;0000006703;1;3
0000001609;0000001609;1;3
0000006692;0000006692;1;3
0000001153;0000001153;1;3
0000001154;0000001154;1;3
0000007464;0000007464;1;3
0000006691;0000006691;1;3
0000001507;0000001507;1;3
0000006687;0000006687;1;3
0000001717;0000001717;1;3
0000001718;0000001718;1;3
0000000686;0000000686;1;3
0000006651;0000006651;1;3
0000004408;0000004408;1;3
0000004409;0000004409;1;3
0000006636;0000006636;1;3
0000001303;0000001303;1;3
0000004586;0000004586;1;3
0000002184;0000002184;1;3
0000005782;0000005782;1;3
0000006618;0000006618;1;3
0000003717;0000003717;1;3
0000006610;0000006610;1;3
0000000646;0000000646;1;3
0000006479;0000006479;1;3
0000002831;0000002831;1;3
0000006515;0000006515;1;3
0000006473;0000006473;1;3
0000006472;0000006472;1;3
0000001112;0000001112;1;3
0000005665;0000005665;1;3
0000006458;0000006458;1;3
0000006412;0000006412;1;3
0000001020;0000001020;1;3
0000001021;0000001021;1;3
0000001469;0000001469;1;3
0000006664;0000006664;1;3
0000006395;0000006395;1;3
0000001755;0000001755;1;3
0000008263;0000008263;1;3
0000006380;0000006380;1;3
0000006377;0000006377;1;3
0000004839;0000004839;1;3
0000000376;0000000376;1;3
0000006364;0000006364;1;3
0000006964;0000006964;1;3
0000006372;0000006372;1;3
0000001580;0000001580;1;3
0000001566;0000001566;1;3
0000001744;0000001744;1;3
0000004532;0000004532;1;3
0000003484;0000003484;1;3
0000006335;0000006335;1;3
0000000587;0000000587;1;3
0000000588;0000000588;1;3
0000000589;0000000589;1;3
0000000590;0000000590;1;3
0000001287;0000001287;1;3
0000003932;0000003932;1;3
0000006294;0000006294;1;3
0000006320;0000006320;1;3
0000005278;0000005278;1;3
0000001689;0000001689;1;3
0000007164;0000007164;1;3
0000001840;0000001840;1;3
0000007640;0000007640;1;3
0000005812;0000005812;1;3
0000006242;0000006242;1;3
0000006259;0000006259;1;3
0000001037;0000001037;1;3
0000000877;0000000877;1;3
0000006196;0000006196;1;3
0000006193;0000006193;1;3
0000001122;0000001122;1;3
0000006182;0000006182;1;3
0000006175;0000006175;1;3
0000006728;0000006728;1;3
